n,range,midpoint,mean,A1,psi1,p,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,ljung,var
201,24.61,26.935,27.34965278,-11.51859787,5.279541698,3,1.309276978,-0.58525122,0.233836452,,,,,,,,,,0.788375364,0.196584329
202,14.21,24.375,23.38256944,-4.701510292,5.806617698,2,1.545892078,-0.583255174,,,,,,,,,,,0.020851667,0.157431762
203,14.19,22.825,21.24097222,-6.328472421,5.281680875,6,1.172433929,-0.358285112,-0.017969816,0.292993231,0.081594095,-0.224609491,,,,,,,0.03714879,0.097679757
204,16.79,20.275,20.75881944,-7.43390756,5.288316454,1,0.937948006,,,,,,,,,,,,0.001175973,0.090469335
205,14.24,22.02,21.79861111,-6.486261024,5.266044135,2,0.990444717,-0.241248596,,,,,,,,,,,0.087781652,0.128622525
206,23.52,25.81,25.47576389,-11.29401367,5.285178377,2,1.325204609,-0.374376048,,,,,,,,,,,6.27005E-07,0.245910766
207,17.79,27.405,26.565,-7.324886288,5.258071989,3,1.085576454,-0.421776776,0.260860326,,,,,,,,,,0.003469511,0.31400375
208,12.26,24.61,22.34333333,-4.325189468,-0.674816414,4,1.774437653,-1.271689935,0.5924663,-0.182009861,,,,,,,,,0.619144714,0.187706944
209,20.84,25.22,26.34333333,-10.06106349,5.229992656,1,0.988648829,,,,,,,,,,,,0.08634248,0.132690035
210,15.18,28.48,29.42361111,6.611539077,-3.541081442,2,1.38758667,-0.444743584,,,,,,,,,,,0.393627586,0.129681827
211,14.25,24.605,23.77076389,-6.249401101,5.309450547,2,1.218954481,-0.249985259,,,,,,,,,,,0.058548601,0.084594418
212,22.76,24.56,24.37444444,-10.63133833,5.207820803,2,1.13564251,-0.251292261,,,,,,,,,,,0.310282857,0.141061529
213,24.3,27.05,27.02006944,-11.42003209,11.47826824,3,0.945387634,-0.395069958,0.300172578,,,,,,,,,,0.052108991,0.130083926
214,36.03,34.095,33.06222222,-16.99151285,5.374525001,2,1.314161485,-0.368814134,,,,,,,,,,,0.013527016,0.272972415
215,8.8,24.39,23.64458333,-2.420687895,0.360267122,2,1.562048789,-0.58048638,,,,,,,,,,,0.002889453,0.097164954
216,6.49,20.805,20.23763889,2.755794934,-67.15267474,1,0.978114286,,,,,,,,,,,,0.212453435,0.049298985
217,10.77,20.615,19.79840278,-4.794883719,5.254585232,4,1.37385334,-0.779060945,0.549299786,-0.194415847,,,,,,,,,0.058389183,0.06983516
218,24.39,24.165,23.795625,-11.67498626,5.293485795,2,1.218248103,-0.271372605,,,,,,,,,,,0.000118113,0.111575723
219,26.55,27.145,27.71097222,-13.16330159,11.57532902,2,1.169857696,-0.215899655,,,,,,,,,,,7.71726E-05,0.118605263
220,31.68,32.31,31.80222222,15.52044086,-689.0902413,2,1.240915168,-0.308715136,,,,,,,,,,,0.734193674,0.180892252
221,35.06,38.14,37.17680556,-16.7274333,5.33756475,2,1.216493839,-0.305698262,,,,,,,,,,,0.009719468,0.327343764
222,32.86,37.36,35.94229167,-16.06669714,11.71955272,3,1.110789518,-0.43067102,0.277467389,,,,,,,,,,0.270911847,0.547110157
223,10.04,26.63,26.48631944,-3.882500328,4.877567144,2,1.427202047,-0.511104987,,,,,,,,,,,0.246547205,0.124545274
224,23.94,34.1,31.63701389,10.12191843,-1983.151754,4,1.253803715,-0.504123414,0.410884858,-0.243889391,,,,,,,,,0.514722141,0.416950867
225,29.38,33.62,30.27604167,-11.76364376,5.678401892,2,1.261581395,-0.299665092,,,,,,,,,,,0.755157606,0.664761318
226,22.25,30.425,28.99513889,-8.388125423,5.671763159,2,1.478749357,-0.50282113,,,,,,,,,,,0.229210802,0.17226233
227,8.1,26.14,25.76430556,2.956537858,-3.941901709,2,1.545268891,-0.601890074,,,,,,,,,,,0.053133638,0.055412711
228,8.65,25.255,24.16340278,2.913993527,14.16122884,4,1.273120534,-0.376095664,0.408317255,-0.342281967,,,,,,,,,0.347248195,0.044826628
229,20.91,31.285,29.32465278,-9.594424278,5.209699257,2,1.252129311,-0.329032196,,,,,,,,,,,0.098697508,0.179193798
230,10.64,25.29,23.31506944,-2.887056493,-0.142174556,2,1.418522588,-0.461181707,,,,,,,,,,,0.250636897,0.141988527
231,13.89,23.925,23.26041667,-6.438427663,5.458867983,2,1.321991116,-0.372403351,,,,,,,,,,,0.011407535,0.102909845
232,17.76,24.81,24.07090278,-8.211953485,5.350602862,2,1.280450208,-0.399176064,,,,,,,,,,,0.208297215,0.157454364
233,27.11,29.865,28.71638889,-13.00941144,11.53232502,2,1.27684589,-0.346910709,,,,,,,,,,,0.078068805,0.178279859
234,34.8,37.54,36.66319444,-16.20118459,11.679088,2,1.296996297,-0.326572709,,,,,,,,,,,0.168792601,0.201158938
235,9.43,26.935,26.58680556,1.344156957,7.835386128,2,1.475290122,-0.485679075,,,,,,,,,,,0.256426464,0.108076288
236,10.74,22.58,21.71465278,3.629506618,-3.890701586,4,1.63791856,-0.971719575,0.489891425,-0.221731404,,,,,,,,,0.500056089,0.183713205
237,11.93,20.245,19.70284722,-5.114832636,5.399973187,3,1.381374526,-0.711529457,0.266448018,,,,,,,,,,0.14813137,0.056508012
238,15.2,19.97,20.84,-7.239724691,5.228233826,6,1.353911444,-0.462424285,0.318803497,-0.347663979,0.371180035,-0.247276339,,,,,,,0.974229227,0.07554987
239,6.12,23.13,23.50590278,-1.557735915,0.567708001,2,1.381570945,-0.421965547,,,,,,,,,,,0.104394583,0.044132673
240,9.74,20.01,20.07173611,2.884244062,-3.93261907,2,1.214071109,-0.227012343,,,,,,,,,,,0.009263708,0.058525329
241,13.22,20.26,20.33131944,-6.064824745,5.367570287,2,1.491009155,-0.526219206,,,,,,,,,,,0.645905932,0.049836396
242,8.79,21.465,20.92847222,3.861169029,27.34130686,2,1.269834501,-0.297004884,,,,,,,,,,,0.758673855,0.023148061
243,6.69,18.785,17.81673611,-2.06798662,0.094166698,2,1.670924793,-0.685448108,,,,,,,,,,,0.233493322,0.016477445
244,5.92,18.21,17.10326389,1.885368306,-3.823262696,4,1.582609451,-1.01909406,0.697936249,-0.316789241,,,,,,,,,0.522587943,0.018861155
245,6.56,15.39,15.55375,-1.071286804,-0.553125934,3,1.654673536,-0.864353775,0.203718679,,,,,,,,,,0.711842891,0.018660903
246,12,16.41,15.60805556,-5.791283347,5.30162931,4,1.233671181,-0.341337093,0.315888154,-0.266031742,,,,,,,,,0.018906094,0.065320461
247,14.75,18.155,17.97541667,-6.884183945,5.344284062,4,1.237464951,-0.143197289,0.100689037,-0.235073194,,,,,,,,,0.529155526,0.050139447
248,15.86,24.87,24.52215278,-6.640250326,5.513557741,2,1.370368936,-0.418418061,,,,,,,,,,,2.53597E-06,0.07203502
249,7.31,16.925,17.89861111,-1.624905007,0.365405255,2,1.477242338,-0.487618935,,,,,,,,,,,0.108960434,0.046810863
250,10.15,16.575,16.20090278,4.653917438,-129.654489,1,0.891129246,,,,,,,,,,,,0.407357837,0.057911811
251,13.41,17.715,17.13111111,-6.114955217,5.411487932,1,0.965658789,,,,,,,,,,,,0.015375935,0.06309081
252,19.91,20.215,19.90951389,-10.20740476,5.295561731,2,1.494324303,-0.542613283,,,,,,,,,,,0.77543402,0.059385983
253,22.72,23.68,23.42354167,-10.65811302,5.291916919,2,1.61146722,-0.627594928,,,,,,,,,,,0.163735264,0.073569323
254,10.15,18.355,18.77847222,-2.365968255,-38.6811476,4,1.619694167,-1.009752397,0.582381226,-0.199766777,,,,,,,,,0.760822397,0.101039133
255,18.52,19.79,19.23666667,-9.021109148,5.280489042,1,0.945875006,,,,,,,,,,,,0.02116893,0.126653451
256,21.12,22.99,22.12326389,-10.46487918,5.256943677,2,1.429178465,-0.458609504,,,,,,,,,,,0.454329747,0.071909921
257,22.99,24.765,22.67069444,-10.11996238,5.229967682,2,1.214082631,-0.25075747,,,,,,,,,,,0.000534632,0.148177815
258,28.39,27.905,26.10215278,-13.6074972,11.5822667,4,1.383605009,-0.529212847,0.399673998,-0.285743752,,,,,,,,,0.727992606,0.106950242
259,27.94,28.91,26.83909722,-13.17493166,11.63171682,2,1.379681247,-0.406399422,,,,,,,,,,,0.241923673,0.141171491
260,24.93,28.325,26.73381944,-11.02336867,5.394051217,2,1.271862161,-0.300110551,,,,,,,,,,,0.004618772,0.170151129
261,10.4,17.31,17.335625,-0.983578547,-32.73542465,6,1.209920441,-0.349020216,0.44037645,-0.150636044,0.095335873,-0.252329664,,,,,,,0.020099394,0.03224565
262,14.9,16.56,16.03708333,-6.691408869,5.247579848,5,1.431970451,-0.634809731,0.228761327,0.171911223,-0.260609711,,,,,,,,0.993751885,0.032448771
263,17.91,17.445,16.11986111,-8.409792085,11.40471657,2,1.49798323,-0.530000342,,,,,,,,,,,0.264050947,0.041763851
264,18.66,18.59,17.711875,-8.757664441,5.152331404,2,1.369182237,-0.407538807,,,,,,,,,,,0.891427252,0.044892698
265,19.58,19.9,18.46951389,-8.965316858,5.268107615,1,0.966852084,,,,,,,,,,,,0.002233085,0.106684554
266,23.36,23.06,21.57354167,-11.0745179,5.292757027,2,1.486445813,-0.509695363,,,,,,,,,,,0.168663553,0.080927822
267,16.84,22.45,20.74388889,-7.007903741,5.179226431,2,1.341512568,-0.388971356,,,,,,,,,,,0.670490133,0.089190739
268,9.39,20.465,20.69319444,-4.319592141,-6.854759559,4,1.211208284,-0.570414464,0.451472166,-0.230907945,,,,,,,,,0.715839198,0.062173962
269,5.61,14.225,14.565625,-1.449449344,0.320292708,2,1.293609695,-0.297672441,,,,,,,,,,,0.023998129,0.019776672
270,2.54,10.4,10.77833333,-0.892726687,0.785843243,2,1.443836136,-0.447806366,,,,,,,,,,,0.12035842,0.003514488
271,7.04,10.93,11.02944444,3.253382025,2.068226279,2,1.434677411,-0.487952345,,,,,,,,,,,0.765618703,0.015185416
272,10.28,13.67,12.96645833,-4.804339498,5.144781219,2,1.638060226,-0.659014917,,,,,,,,,,,0.048315749,0.021050868
273,12.02,15.75,14.71256944,4.664882621,-330.7317406,2,1.378888861,-0.42610977,,,,,,,,,,,0.008339269,0.061662405
274,10.14,14.8,13.78944444,4.478835584,8.504678606,4,1.051533589,0.08436834,0.126994693,-0.304377169,,,,,,,,,0.482340333,0.017850927
275,12.48,16.48,15.22965278,-5.853370974,5.148057067,7,1.463496577,-0.709936324,0.452402018,-0.031139149,-0.273793036,0.32609312,-0.262884106,,,,,,0.394284073,0.027071184
276,11.88,18.36,17.71819444,-4.926983797,5.246530264,2,1.445272053,-0.465375864,,,,,,,,,,,0.413845449,0.036519926
277,11.89,18.045,16.50611111,3.655632053,-16.31073599,4,1.849285435,-1.265308854,0.649655005,-0.247161862,,,,,,,,,0.287676047,0.03136573
278,8.43,13.765,13.85951389,3.701233325,-3.886981994,2,1.406200898,-0.454928286,,,,,,,,,,,0.033884737,0.036277643
279,7.52,13.82,13.38847222,3.291819231,-4.294234413,3,1.66914557,-0.887564817,0.186692396,,,,,,,,,,0.360168772,0.022502915
280,2.99,14.535,14.379375,-1.156461154,-0.592084237,2,1.522169848,-0.567777559,,,,,,,,,,,0.651240646,0.006101485
281,3.52,14.55,14.13166667,-1.412896578,-0.501954794,5,1.486003613,-0.821336856,0.34775558,0.114593764,-0.215535828,,,,,,,,0.025533517,0.018171581
282,5.76,14.04,14.74423611,2.663172351,8.004940429,2,1.577489571,-0.589258644,,,,,,,,,,,0.021776937,0.011641531
283,3.53,15.285,14.87173611,0.92242062,-0.199073079,2,1.597428874,-0.611969329,,,,,,,,,,,0.703919022,0.010583255
284,5.9,10.81,11.94951389,-1.293426954,0.639388666,4,1.586532712,-0.741360831,0.432663437,-0.28563562,,,,,,,,,0.515929642,0.014386307
285,5.98,10.21,9.769930556,-2.746705189,-0.655653942,3,1.148172632,-0.47736839,0.255135533,,,,,,,,,,0.806608024,0.014730022
286,7.43,11.505,10.49576389,3.085126364,-10.0955476,2,1.345623531,-0.417858751,,,,,,,,,,,0.003531044,0.038132986
287,4.44,10.85,10.67645833,1.827720798,-66.88866427,2,1.36671885,-0.388966304,,,,,,,,,,,0.513937446,0.008179346
288,0.67,10.565,10.54805556,-0.109195688,0.845307289,4,1.49211014,-0.770429325,0.497846561,-0.248105383,,,,,,,,,0.107147972,0.000763895
289,0.73,10.815,10.81159722,-0.313952145,-0.97990967,2,1.466704116,-0.524987712,,,,,,,,,,,0.145303033,0.000239905
290,2.3,11.05,10.84444444,-0.515427732,-0.295104423,4,1.659440424,-1.148963472,0.729634311,-0.296107055,,,,,,,,,0.281421635,0.006340637
291,1.1,10.32,10.24791667,-0.343138526,-0.922264451,3,1.272597115,-0.589532247,0.255883175,,,,,,,,,,0.151959475,0.002203337
292,3.67,11.795,11.13236111,-1.233721017,-0.949606157,6,1.089312818,-0.096393392,0.135272408,-0.271810086,0.367466879,-0.302170177,,,,,,,0.998011335,0.008526879
293,6.3,11.01,11.00131944,-1.921232359,-0.397793627,6,1.48678097,-0.775278802,0.487285554,-0.171876337,0.200238146,-0.240175298,,,,,,,0.700853582,0.008370116
294,9.97,11.915,11.47138889,-4.479909023,5.188482037,2,1.541800438,-0.550934752,,,,,,,,,,,0.106268771,0.018522156
295,8.99,16.885,15.69569444,-3.59602995,11.37198221,2,1.515672918,-0.560032884,,,,,,,,,,,0.000815551,0.034362515
296,8.53,20.115,19.019375,2.999592366,-3.905057123,2,1.489046066,-0.52196295,,,,,,,,,,,0.092201388,0.050383435
297,4.21,17.115,17.24743056,-0.807543973,-0.257570052,2,1.555898674,-0.562969235,,,,,,,,,,,0.007007757,0.009405045
298,7.79,14.865,15.30243056,2.281793744,-4.116266663,2,1.486162354,-0.510417802,,,,,,,,,,,0.098353152,0.037242972
299,6.45,15.065,14.85138889,2.436651951,-4.060665616,4,1.471447312,-0.662382896,0.416258689,-0.262874071,,,,,,,,,0.40789379,0.01909089
300,3.14,12.63,12.38451389,0.376409626,4.487341575,2,1.310931468,-0.316212753,,,,,,,,,,,0.270782736,0.010237531
301,3.72,11.88,11.55291667,-1.01341685,-0.77282961,3,1.653423169,-0.938247968,0.250167068,,,,,,,,,,0.009414925,0.011375335
302,4.55,12.905,12.38555556,-1.410098141,-6.943382351,3,1.661003551,-1.02191216,0.335492657,,,,,,,,,,0.145857547,0.020661748
303,3.55,12.195,12.17798611,-0.387202413,1.031240471,2,1.532002501,-0.593860992,,,,,,,,,,,0.019203552,0.034668881
304,5.65,13.165,14.22847222,2.141478887,-23.03160589,3,1.889667612,-1.144701153,0.252910562,,,,,,,,,,0.042169847,0.005952723
305,4.96,14.69,14.94833333,-1.316071481,0.264637343,6,1.83908949,-1.397066055,1.202495793,-1.105410813,0.661877187,-0.209583635,,,,,,,0.498884117,0.00585302
306,5.74,14.98,14.91826389,2.311515978,1.482569167,6,1.784594685,-1.303708294,0.977961703,-0.785113903,0.665558679,-0.345493185,,,,,,,0.956745894,0.008039726
307,5.91,20.525,20.64493056,-2.088969876,24.23954617,2,1.541867342,-0.559236086,,,,,,,,,,,0.632641565,0.011138924
308,8.61,16.685,14.38680556,-0.180998766,0.246220101,2,1.599037154,-0.615271903,,,,,,,,,,,0.999884881,0.059605832
309,5.78,9.71,10.42027778,-1.264451069,0.444906422,2,1.335603271,-0.338640827,,,,,,,,,,,0.136120834,0.020765073
310,7.42,9.28,7.919305556,2.793988607,-4.141751836,10,1.287986978,-0.509846424,0.328785625,-0.124930614,0.00627094,-0.006257012,0.191205081,-0.054986216,0.012801151,-0.185361146,,,0.421886176,0.011005086
311,8.56,9.88,8.152569444,3.389195781,-4.06753589,3,1.452270222,-0.246474308,-0.224074165,,,,,,,,,,0.059170028,0.011888827
312,13,11.66,8.822777778,-4.701504339,5.330894966,4,1.666492794,-0.930720881,0.490449463,-0.252512662,,,,,,,,,0.689385328,0.043398358
313,10.02,10.72,9.014930556,4.045425571,2.118116948,6,1.538962485,-0.745734024,0.293289274,-0.179821332,0.439675767,-0.380144593,,,,,,,0.888460171,0.018154105
314,5.02,8.84,7.925833333,1.758964658,-104.5846607,2,1.505729076,-0.529420895,,,,,,,,,,,0.664208289,0.011159243
315,5.26,8.65,7.499236111,-1.230197647,-0.848688108,12,1.475989334,-0.679549483,0.676106136,-0.617814658,0.289507802,-0.504624694,0.37175692,-0.048480884,0.212995186,0.025464922,-0.4343998,0.193994597,0.813315827,0.008688351
316,4.58,9.13,9.578819444,2.050871596,8.211504239,5,1.221701281,-0.168535999,0.159468902,0.00129088,-0.217025228,,,,,,,,0.182629807,0.003876059
317,4.17,10.165,10.1825,1.474968343,8.348372454,4,1.713489762,-1.100534976,0.680755092,-0.311131684,,,,,,,,,0.182101575,0.006275416
318,9.32,10.93,10.53229167,-3.939915151,4.864904164,2,1.681318147,-0.697281512,,,,,,,,,,,0.080264449,0.020074232
319,7.84,15.44,14.35270833,-2.700160378,-0.513551695,2,1.569140409,-0.585430897,,,,,,,,,,,0.098184458,0.017809487
320,7.32,14.41,13.74340278,2.370800206,-10.28705891,2,1.430455124,-0.46193302,,,,,,,,,,,0.954223266,0.035703319
321,2.95,12.695,12.48958333,-0.737062741,-0.703460981,2,1.458000371,-0.484332275,,,,,,,,,,,0.001936722,0.012708827
322,2.33,12.115,12.398125,0.755546643,-4.525644939,2,1.45044618,-0.487495125,,,,,,,,,,,0.469197469,0.002634273
323,5.5,13.51,12.73694444,-1.375669193,-0.397714851,2,1.494796518,-0.514723135,,,,,,,,,,,0.815461862,0.015775931
324,5.14,10.89,11.17090278,-1.561070493,0.428803205,2,1.316376508,-0.360655613,,,,,,,,,,,0.502765213,0.029861282
325,3.34,7.68,7.745972222,-0.746879078,-0.40965064,2,1.324966019,-0.334490367,,,,,,,,,,,0.027131487,0.0081556
326,4.31,7.095,7.019930556,1.975676464,8.12916565,2,1.734384294,-0.742792747,,,,,,,,,,,0.46537081,0.004650002
327,4.13,9.815,9.595,-1.700230319,5.500849734,3,1.654459812,-0.923737799,0.218005822,,,,,,,,,,0.174359893,0.005745571
328,5.37,8.555,8.955,-1.719851061,0.153424703,2,1.327904864,-0.332919982,,,,,,,,,,,0.244945452,0.009030666
329,4.54,7.14,6.826111111,1.725285124,20.9210728,4,1.796628516,-1.117371963,0.583129558,-0.281567925,,,,,,,,,0.95574089,0.003924329
330,5.38,8.42,7.633333333,-1.603512669,-0.794685408,2,1.774550815,-0.785407819,,,,,,,,,,,0.045704345,0.004383975
331,4.14,7.53,7.228819444,1.943107151,46.04646665,2,1.540527398,-0.563126202,,,,,,,,,,,0.051210185,0.002797204
332,4.39,7.795,7.011666667,-1.601480098,564.5559531,6,1.134672349,-0.228910795,0.239601311,-0.232851809,0.376940336,-0.346831752,,,,,,,0.029442423,0.012802753
333,1.31,6.505,6.552361111,0.618807812,-10.86236603,5,1.481716265,-0.647332519,0.205151548,0.189640586,-0.252970253,,,,,,,,0.763273432,0.000900419
334,1.2,7.23,7.145347222,0.502041848,-4.385944938,1,0.932487362,,,,,,,,,,,,0.325717976,0.001557145
335,2.82,7.07,6.890972222,-0.67791213,-20.07718985,5,1.328262262,-0.428336169,0.282106626,-0.029917594,-0.184137386,,,,,,,,0.903369591,0.004924731
336,1.13,6.615,6.604097222,-0.400499418,67.92827931,2,1.413088416,-0.460023921,,,,,,,,,,,0.190868192,0.00099171
337,1.33,6.055,6.127638889,-0.431018752,7.527632954,4,1.507547474,-0.769439256,0.5410679,-0.292692215,,,,,,,,,0.68314234,0.001262574
338,0.98,5.96,5.901875,0.413826433,-4.502385176,2,1.559534523,-0.607543189,,,,,,,,,,,0.643890273,0.000469673
339,3.26,7.51,6.930763889,-1.04473701,-0.83998248,3,1.367282304,-0.197437907,-0.211632577,,,,,,,,,,0.812226053,0.004517759
340,2.72,6.94,7.204513889,-1.07437962,11.43597464,7,1.122806888,-0.481215285,0.464105736,-0.209365293,0.292819091,-0.087554805,-0.181845815,,,,,,0.280437239,0.010353919
341,1.35,6.815,6.871388889,0.237940232,0.59432876,7,1.163618203,-0.426899507,0.370331249,0.124025648,-0.173557332,0.143277621,-0.232610562,,,,,,0.886824987,0.002080982
342,1.32,7.65,7.753680556,-0.492109042,-0.620949727,3,1.470609979,-0.723596858,0.211038629,,,,,,,,,,0.825895795,0.002536641
343,3.66,7.87,7.617222222,-0.911400526,-0.118300337,4,1.518388771,-0.73226009,0.455769266,-0.257479941,,,,,,,,,0.269859792,0.006510592
344,1.7,7.07,7.103333333,-0.542477025,-0.898041338,2,1.267092043,-0.294874933,,,,,,,,,,,0.717932687,0.002053417
345,0.45,7.105,7.064027778,-0.062927641,0.446847499,1,0.936387325,,,,,,,,,,,,0.25895605,0.001002889
346,1.22,6.91,7.102430556,-0.315887277,0.242359211,2,1.330069177,-0.344173352,,,,,,,,,,,0.691579667,0.000794533
347,1.87,7.575,7.586597222,-0.872891587,30.22619202,4,1.681996623,-0.852584965,0.424156629,-0.27163624,,,,,,,,,0.908514363,0.000542539
348,2.35,8.855,8.568958333,-1.069609776,-0.902944767,2,1.34819208,-0.377923464,,,,,,,,,,,0.004789599,0.002224206
349,3.69,9.245,8.702222222,-1.34253311,5.555720144,2,1.510365402,-0.534983498,,,,,,,,,,,0.658575368,0.005078894
350,3.12,9.56,9.359583333,-1.260244497,17.70579702,6,1.544943558,-0.472218866,-0.307658529,0.342148989,0.116021722,-0.253100847,,,,,,,0.782282256,0.002665956
351,3.94,11.33,10.378125,-0.998256715,-0.661389033,4,1.775041755,-1.109780255,0.586366373,-0.276752148,,,,,,,,,0.031770118,0.007139334
352,3.52,8.59,8.850069444,-0.936726585,-0.308238067,2,1.52086969,-0.52874402,,,,,,,,,,,0.485186129,0.004029981
353,5.74,8.87,7.905416667,2.077743036,-10.30201891,2,1.492685118,-0.517783763,,,,,,,,,,,0.660925359,0.013516134
354,4.98,8.86,8.12375,1.664795429,8.496531158,2,1.613331983,-0.633370104,,,,,,,,,,,0.008847656,0.008197878
355,2.38,7.76,7.800069444,1.057096346,-17.04630174,2,1.554216464,-0.619926711,,,,,,,,,,,0.32145963,0.001432492
356,3.36,8.38,8.278888889,1.126927138,1.635220977,2,1.652685626,-0.671678638,,,,,,,,,,,0.184025929,0.006056714
357,6.76,13.16,13.48770833,-2.467056329,-0.658009669,2,1.539804032,-0.554988042,,,,,,,,,,,0.794510924,0.010049116
358,2.32,12.45,12.341875,0.842552305,1.051397085,2,1.200385723,-0.252414543,,,,,,,,,,,0.231946858,0.005197652
359,5.58,10.36,9.832986111,1.980878941,-1.436802616,2,1.592873061,-0.599361755,,,,,,,,,,,0.435532293,0.018020485
360,1.63,6.735,6.824513889,0.335490779,-45.53221468,3,1.558630994,-0.458777524,-0.104748247,,,,,,,,,,0.006767321,0.000969898
361,2.4,6.07,6.134722222,1.036096394,-10.94861965,2,1.651333564,-0.668187551,,,,,,,,,,,0.057107054,0.001775953
362,1.31,6.665,6.539375,0.470681066,0.650474493,5,1.583858438,-0.881977705,0.673754192,-0.666917211,0.260252972,,,,,,,,0.565129232,0.000969105
363,2.09,7.225,6.929722222,-0.814548239,-0.44979885,5,1.564229785,-0.780469277,0.248875699,0.180007665,-0.239813115,,,,,,,,0.293533309,0.001631334
364,2.39,6.785,6.93125,-0.903514958,-0.997943772,4,1.362584513,-0.624344562,0.515261027,-0.315473968,,,,,,,,,0.780036739,0.00540607
365,2.17,7.625,7.398611111,-0.777876937,-1.045534558,2,1.184096822,-0.247924799,,,,,,,,,,,0.414534918,0.00610802
366,1.74,6.95,7.012083333,0.695521629,-4.54564507,2,1.37533244,-0.47100114,,,,,,,,,,,0.186792067,0.005219674
